Country;City;Date;SI_index
Беларусь;Брест;29.03.2020;3.00
Беларусь;Брест;30.03.2020;1.80
Беларусь;Брест;31.03.2020;1.60
Беларусь;Витебск;01.03.2020;3.40
Беларусь;Витебск;01.04.2020;2.50
Беларусь;Витебск;02.03.2020;1.30
Беларусь;Витебск;02.04.2020;2.60
Беларусь;Витебск;03.03.2020;1.30
Беларусь;Витебск;03.04.2020;2.50
Беларусь;Витебск;04.03.2020;1.30
Беларусь;Витебск;04.04.2020;3.20
Беларусь;Витебск;05.03.2020;1.40
Беларусь;Витебск;05.04.2020;3.90
Беларусь;Витебск;06.03.2020;1.30
Беларусь;Витебск;06.04.2020;2.50
Беларусь;Витебск;07.03.2020;2.70
Беларусь;Витебск;07.04.2020;2.40
Беларусь;Витебск;08.03.2020;3.00
Беларусь;Витебск;08.04.2020;2.50
Беларусь;Витебск;09.03.2020;1.40
Беларусь;Витебск;09.04.2020;2.50
Беларусь;Витебск;10.03.2020;1.30
Беларусь;Витебск;10.04.2020;2.40
Беларусь;Витебск;11.03.2020;1.30
Беларусь;Витебск;11.04.2020;3.50
Беларусь;Витебск;12.03.2020;1.30
Беларусь;Витебск;12.04.2020;3.80
Беларусь;Витебск;13.03.2020;1.40
Беларусь;Витебск;13.04.2020;2.40
Беларусь;Витебск;14.03.2020;3.00
Беларусь;Витебск;14.04.2020;2.40
Беларусь;Витебск;15.03.2020;3.40
Беларусь;Витебск;15.04.2020;2.60
Беларусь;Витебск;16.03.2020;1.50
Беларусь;Витебск;16.04.2020;2.60
Беларусь;Витебск;17.03.2020;1.40
Беларусь;Витебск;17.04.2020;2.50
Беларусь;Витебск;18.03.2020;1.50
Беларусь;Витебск;18.04.2020;3.50
Беларусь;Витебск;19.03.2020;1.40
Беларусь;Витебск;19.04.2020;4.00
Беларусь;Витебск;20.03.2020;1.40
Беларусь;Витебск;20.04.2020;2.40
Беларусь;Витебск;21.03.2020;3.00
Беларусь;Витебск;21.04.2020;2.30
Беларусь;Витебск;22.03.2020;3.50
Беларусь;Витебск;22.04.2020;2.20
Беларусь;Витебск;23.02.2020;3.20
